energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,artificial_colors,processed_oils,ultra_processed,score
477.0,7.24,61.0,55.9,50.3,22.65,10.2,0.11,0,231.0,0,0,0,1,1,25
438.0,6.4,74.0,35.1,0.0,24.8,24.5,0.04,0,97.4,0,0,0,0,0,70
462.7,8.51,60.59,3.76,0.0,20.7,10.15,0.09,0,663.92,1,0,0,1,1,35
452.29,9.76,61.26,4.96,0.0,18.69,9.85,0.07,0,658.13,1,0,0,1,1,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
218.5,3.3,19.39,18.99,14.0,14.2,8.8,0.25,0,25.4,0,0,0,0,0,100
0.0,0.0,0.0,13.11,5.71,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
45.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
3.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,1,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,1,1,65
562.0,10.0,47.6,24.8,24.8,36.8,22.2,0.0,0,0.0,0,0,0,0,1,35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
206.0,3.5,21.8,21.7,14.8,11.7,7.0,0.4,0,49.0,0,0,0,0,1,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,90
498.0,5.7,62.2,57.0,37.8,26.0,17.5,0.1,0,82.3,0,0,0,0,0,50
202.0,3.1,17.1,15.4,11.8,13.5,7.8,0.0,0,0.0,0,0,0,0,0,100
373.0,9.0,81.0,27.5,27.0,3.0,1.2,0.0,0,250.0,0,0,0,1,0,55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
543.0,7.6,58.5,55.3,45.9,31.4,21.5,0.1,0,125.0,0,0,0,0,0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,85
520.0,8.5,58.8,54.4,38.3,28.4,16.4,0.1,0,106.0,0,0,0,0,0,50
557.0,8.1,50.9,40.6,33.4,36.3,17.8,0.1,0,141.0,0,0,0,1,0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,75
127.0,2.6,16.3,11.3,11.3,5.8,4.3,0.16,0,42.0,0,0,0,0,0,100
372.4,12.6,67.6,1.8,0.0,0.0,1.3,0.0,0,9.5,0,0,0,0,0,100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,90
465.0,6.1,76.0,36.2,34.9,15.1,7.4,0.02,0,166.7,0,0,0,1,1,35
445.0,7.0,60.0,10.0,0.0,0.0,13.0,0.0,0,0.0,0,0,0,1,0,80
465.0,7.1,62.3,22.3,0.0,0.0,10.4,0.0,0,0.0,0,0,0,0,0,65
463.0,6.0,76.0,30.5,27.6,15.0,8.0,0.0,0,274.0,0,0,0,1,0,50
452.0,8.0,78.0,21.0,0.0,0.0,5.5,0.0,0,0.0,0,0,0,1,1,70
483.0,5.2,71.9,38.9,38.5,19.6,9.7,0.1,0,420.0,0,0,0,1,1,35
438.0,6.4,47.4,35.1,28.9,24.8,24.5,0.04,0,97.4,0,0,0,0,0,55
454.0,7.0,75.0,27.0,25.0,14.0,6.0,0.0,0,302.0,0,0,0,0,0,60
496.0,6.6,69.2,18.5,0.0,0.0,10.1,0.1,0,0.0,0,0,0,2,1,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
481.0,6.8,69.0,25.5,24.1,20.1,10.1,0.08,0,270.1,0,0,0,1,1,25
500.0,7.0,68.5,30.2,27.7,22.0,12.9,0.0,0,204.0,0,0,0,1,0,40
438.0,6.4,47.4,35.1,28.9,24.8,24.5,0.04,0,97.4,0,0,0,0,0,55
433.0,4.0,66.0,37.0,37.0,17.0,13.0,0.0,0,185.0,0,0,0,0,1,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,2,0,90
495.0,7.7,68.9,7.7,0.0,0.0,9.9,0.0,0,0.0,0,0,0,2,1,70
493.0,11.0,63.0,13.6,0.0,0.0,9.6,0.0,0,314.0,0,0,0,1,0,90
492.0,8.1,70.2,18.6,17.3,19.9,9.7,0.0,0,224.0,0,0,0,1,0,70
463.0,10.0,72.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0,0,0,2,1,70
487.0,7.0,72.0,19.4,18.5,19.0,9.0,0.0,0,458.0,0,0,0,1,0,70
0.0,7.0,60.0,10.0,0.0,0.0,13.0,0.0,0,0.0,0,0,0,1,0,80
445.0,7.9,79.5,21.2,20.8,10.6,5.1,0.0,0,316.0,0,0,0,1,1,60
445.0,7.9,79.5,21.2,20.8,10.6,5.1,0.0,0,316.0,0,0,0,1,1,60
509.0,6.7,67.3,20.5,20.3,23.7,11.6,0.0,0,220.0,0,0,0,1,0,60
483.0,9.3,68.0,12.7,12.1,20.8,10.3,0.0,0,362.0,0,0,0,1,1,60
493.0,5.0,71.0,30.0,0.0,0.0,7.5,0.0,0,0.0,0,0,0,0,1,60
0.0,6.0,0.0,24.0,0.0,20.0,9.0,0.0,0,0.0,0,0,0,1,1,55
486.0,7.4,70.0,24.0,23.0,19.5,9.4,0.0,0,309.0,0,0,0,2,0,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,100
512.0,6.1,68.0,32.0,31.4,24.0,14.1,0.0,0,200.0,0,0,0,1,1,25
487.0,7.0,72.0,19.5,18.5,19.0,9.0,0.0,0,466.0,0,0,0,1,0,70
105.0,1.4,12.9,10.0,0.0,5.1,0.0,0.0,0,0.0,0,0,0,0,0,100
493.0,8.0,68.0,14.5,0.0,0.0,10.0,0.0,0,0.0,0,0,0,0,1,80
467.0,6.4,73.4,38.4,0.0,0.0,8.6,0.1,0,0.0,0,0,0,1,1,50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,1,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,1,0,90
454.0,7.0,75.0,27.0,25.0,14.0,6.0,0.0,0,302.0,0,0,0,0,0,60
454.0,6.9,77.3,25.5,25.0,13.0,6.0,0.0,0,296.0,0,0,0,1,1,35
471.0,8.3,72.0,23.1,21.6,17.8,8.8,0.0,0,287.0,0,0,0,1,0,50
