energy,protein,carbs,sugar,added_sugar,fat,sat_fat,trans_fat,fiber,sodium,msg,sweeteners,colors,processed_oils,ultra_processed
437.0,4.0,67.0,37.0,0.0,17.0,0.0,0.0,0.0,200.0,0,0,0,0,0
483.0,5.0,73.0,33.5,0.0,19.0,9.5,0.0,0.0,214.0,0,0,0,0,0
481.0,9.1,68.0,13.1,11.9,20.9,10.4,0.0,7.3,363.0,0,0,0,0,0
486.0,7.4,70.0,24.0,23.0,19.5,9.4,0.0,0.0,309.0,0,0,0,0,0
501.0,8.6,67.6,7.5,5.5,21.8,10.4,0.0,0.0,960.0,0,0,0,0,0
462.0,6.7,76.0,26.9,0.0,14.6,6.8,0.0,0.0,0.0,0,0,0,0,0
479.0,5.7,74.0,32.0,0.0,17.8,9.2,0.0,0.0,0.0,0,0,0,0,0
481.0,9.1,68.0,13.1,11.9,20.9,10.4,0.0,7.3,368.0,0,0,0,0,0
453.0,6.0,76.0,30.5,0.0,15.0,8.0,0.0,0.0,274.0,0,0,0,0,0
2000.0,7.9,68.8,8.4,7.8,0.0,0.0,0.0,0.0,891.0,0,0,0,0,0
497.0,8.0,69.0,0.0,0.0,21.0,10.0,0.0,9.0,0.0,0,0,0,0,0
453.0,7.0,58.0,8.0,0.0,32.0,16.0,0.0,5.0,671.0,0,0,0,0,0
2000.0,6.9,77.3,25.5,25.0,0.0,0.0,0.0,0.0,296.0,0,0,0,0,0
0.0,5.2,64.7,37.3,37.1,0.0,0.0,0.0,0.0,115.0,0,0,0,0,0
469.0,5.5,59.3,39.3,35.6,23.4,23.1,0.05,0.0,84.8,0,0,0,0,0
508.0,6.6,67.7,21.9,20.8,23.4,11.5,0.0,0.0,231.0,0,0,0,0,0
0.0,7.3,79.3,25.5,23.6,0.0,0.0,0.0,0.0,255.0,0,0,0,0,0
449.0,7.3,79.3,25.5,23.6,11.4,5.5,0.0,0.0,255.0,0,0,0,0,0
